model,average_precision,roc_auc,balanced_accuracy,f2_score,precision_at_500
hist_gradient_boosting,0.08239479886490321,0.6625196651525216,0.5448473749396532,0.16489443673909693,0.102
random_forest,0.06654359084203595,0.5444357809054778,0.5178176157637031,0.12139366230490305,0.094
dummy_baseline,0.05291800559759511,0.5,0.5,0.0,0.05
