feature,importance_mean,importance_std
estimated_delivery_days,0.035451995621651564,0.0013310361702799037
primary_seller_state,0.007438940743758116,0.001025505540729943
avg_product_volume_cm3,0.0014985039264723081,0.0009117337366738126
payment_type_mode,0.0014950019866651857,0.00045280271967890483
customer_state,0.0010928457575258275,0.0017517715333020133
purchase_month,0.0010256441394955365,0.0004818404238896047
purchase_day_of_week,0.000964327937456283,0.0006135594528861981
is_weekend_purchase,0.0008532466519196716,0.00028558459655617454
avg_product_photos_qty,0.0006810232816289342,0.0005293156289827469
avg_product_name_length,0.0005827899970910988,0.0007326776788235868
unique_sellers,0.0004197797665581149,0.000364787195839505
payment_installments_max,0.00012104566608972522,0.0004486834560368274
seller_state_nunique,1.2307832401302344e-05,0.0001052740429639494
missing_product_metadata_share,0.0,0.0
payment_type_count,-2.026878501295015e-05,5.842182209898982e-05
item_count,-5.2561063885900314e-05,0.0003499383991804872
avg_product_description_length,-0.0002448566559275736,0.000732267280568655
purchase_hour,-0.0002911456280841357,0.000771570296459414
avg_product_weight_g,-0.0008639966507520469,0.0008553821483005457
seller_customer_same_state,-0.001741532626050657,0.0010801836113583335
price_per_item,-0.0019298617387811718,0.000675585218663392
total_price,-0.0024357736684550158,0.0006258867419299003
freight_to_price_ratio,-0.002625600283192585,0.0007396513922991483
payment_value,-0.002661694942146517,0.0009245184011241238
purchase_day,-0.00272622350659507,0.0009741206257019312
total_freight_value,-0.004576329778791073,0.001195882895326563
