model,variant,average_precision,roc_auc,balanced_accuracy,f2_score,precision_at_500,brier_score
hist_gradient_boosting,uncalibrated,0.08239479886490321,0.6625196651525216,0.5448473749396532,0.16489443673909693,0.102,0.13912120657166685
hist_gradient_boosting,calibrated_sigmoid,0.17151194691844432,0.7960532800678445,0.5,0.0,0.236,0.049169147589461754
